PuzzleId,FEN,Moves,Rating,Themes
5nUcm,Q1b3k1/p1q1r1pp/5p1B/1pp5/6R1/1PPP4/2P2PPb/4R1K1 w - - 0 23,g1h1 e7e1,495,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove
BV5Bw,r4r1k/2p1NppR/4b3/8/8/5Q1P/p3RPPK/1q6 b - - 0 24,h8h7 f3h5,640,anastasiaMate master masterVsMaster mate mateIn1 middlegame oneMove
Alq9h,rnq1r1Qk/ppp3pp/5p1N/5b2/3P1P2/8/PP2BPPP/R3K2R b KQ - 5 16,e8g8 h6f7,668,mate mateIn1 middlegame oneMove smotheredMate
YbxCW,r2q1b2/2pb1kpp/p1n1P3/1p1n4/8/7P/PP2QPP1/RNB1R1K1 b - - 0 18,d7e6 e2e6,693,dovetailMate mate mateIn1 middlegame oneMove
nMTo9,rnbqkbBr/pp4pp/3p4/2p1p3/1P6/1QP2p2/P2P1PPP/RNB1K2R b KQkq - 0 7,f3g2 b3f7,720,mate mateIn1 oneMove opening
frReb,1r1qkb1r/4pppb/3p1n1p/1NpP1P2/Q1n1P1P1/P4N1P/1P1B2B1/R3K2R b KQk - 2 16,c4b2 b5c7,741,discoveredCheck doubleCheck mate mateIn1 middlegame oneMove
kVGo2,5r1k/p2r2p1/3p4/P2B2R1/1PP1p2p/4Kb2/5P2/7R b - - 1 30,f3h1 g5h5,757,endgame mate mateIn1 oneMove pillsburysMate
d64Uh,rr6/5pk1/3p1n1p/1p1PpPp1/2p1P1P1/p1P4q/R1Q3R1/3B1N1K w - - 0 42,g2h2 h3f1,770,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove
CTfBx,r1bq2kr/pp2b2p/2n3pQ/4p3/2B1P3/2P2N2/P4PP1/R1B1K2R b KQ - 1 18,c8e6 c4e6,776,balestraMate hangingPiece kingsideAttack master mate mateIn1 middlegame oneMove
CERio,8/2r1k1p1/4pp1p/2Nn4/1p1P2PP/5PK1/P3R3/8 b - - 9 47,e7d6 e2e6,782,endgame hookMate master mate mateIn1 oneMove
a0QfJ,r1b2rk1/pppp1Qpp/8/8/2B5/5P2/2n2P1P/R3R1K1 b - - 0 17,f8f7 e1e8,787,mate mateIn1 middlegame oneMove pin
bkfTF,3rkb1r/pp1npppp/8/qQ1N4/3P3P/2P3P1/PP4P1/R1B1K2R b KQk - 2 15,a5b5 d5c7,793,master mate mateIn1 middlegame oneMove smotheredMate
HqYdW,4r3/p1r3pp/4Rk2/2Pn1pN1/3P1P2/6P1/7P/4R1K1 b - - 0 31,e8e6 e1e6,799,endgame hookMate mate mateIn1 oneMove
pmgbN,6k1/4qpp1/2p1pn1p/2PpQP2/1P6/2B4P/6P1/6K1 b - - 2 38,f6e4 e5g7,805,endgame mate mateIn1 oneMove
y1mcK,5qk1/p7/2Q3p1/8/8/2B3P1/PPP4P/3r2K1 w - - 1 35,g1g2 f8f1,809,dovetailMate endgame mate mateIn1 oneMove
l6YFo,r2rb1k1/p4pp1/5b1p/q2B4/8/1R2BQ2/P4PPP/4R1K1 w - - 3 22,d5a8 a5e1,819,hangingPiece mate mateIn1 middlegame oneMove
JUkHu,6k1/5p1p/1qn1p1p1/1p2P3/7P/2QP2PB/r4P2/2R2K2 w - - 0 33,c3c6 b6f2,826,endgame mate mateIn1 oneMove
M9MCN,rb3rk1/1pqb1p2/p3pQ2/2PpNn2/3P4/P1NB3P/1P3PP1/R4RK1 w - - 1 19,e5d7 c7h2,831,mate mateIn1 middlegame oneMove
sp27v,r1b2qk1/pp3rb1/2p2NQB/3Pn1N1/2Pp4/7P/PP3PP1/R4RK1 b - - 0 21,f7f6 g6h7,835,mate mateIn1 middlegame oneMove
FgA2F,r3rb2/pp1bnNkp/2p1QBp1/q3p3/4P3/2N5/PPP2PPP/2K4R b - - 1 18,g7g8 f7h6,840,discoveredCheck doubleCheck master mate mateIn1 middlegame oneMove
pgYoj,2r1r1k1/2R1Bppp/p3p3/1pQp4/2nP4/8/PPq2PPP/3R2K1 w - - 10 24,c7c8 c2d1,843,backRankMate hangingPiece mate mateIn1 middlegame oneMove
8NsrL,rn1qk2r/1pp1n1p1/3p3p/p1bPp3/2P1P3/3B1pPb/PP3P1P/RNBQ1RNK w kq - 2 11,f1e1 h3g2,846,mate mateIn1 middlegame oneMove
HFZAN,6k1/6p1/4R2p/p2p4/2bP4/6P1/3Q3P/q5K1 w - - 1 39,g1g2 a1f1,849,dovetailMate endgame mate mateIn1 oneMove
vCMvT,r2qrb1k/p5p1/2b2pp1/1ppNp3/2B1P3/7R/PP1Q1PPP/3R2K1 b - - 1 20,h8g8 d5e7,851,discoveredCheck doubleCheck master mate mateIn1 middlegame oneMove
3W5t7,4k3/R7/4K3/p2n4/P7/8/3b4/8 b - - 10 59,d5b4 a7a8,855,endgame mate mateIn1 oneMove
kvfSw,4rrk1/pp3pp1/1b5p/2pq4/3P4/2P5/PP4NP/R1BQR2K w - - 0 21,d1g4 e8e1,857,kingsideAttack mate mateIn1 middlegame oneMove pin
vjeSn,rnb2rk1/ppp2ppp/8/3Pp3/2B3nq/2NP3P/PPP3P1/R1BQ1KNR w - - 1 9,g1f3 h4f2,860,mate mateIn1 oneMove opening
K0DkU,rnqbr1k1/pppb1ppn/1N1p2Np/8/2B1P3/3PB2P/PPP3P1/R2Q1RK1 b - - 6 13,a7b6 c4f7,863,kingsideAttack mate mateIn1 oneMove opening
UkOho,2q1rRk1/pp5p/2p1N1p1/2NnQ3/3P4/8/PP4PP/6K1 b - - 10 23,e8f8 e5g7,865,endgame mate mateIn1 oneMove
tsfRP,8/8/3Q1kp1/3P3p/8/P2b2K1/4q1PP/8 b - - 0 33,f6g5 d6f4,867,endgame mate mateIn1 oneMove
ftXti,8/7p/5R2/2k1p1P1/4P3/1PKB2q1/2P2p2/8 b - - 5 43,g3e3 b3b4,869,endgame mate mateIn1 oneMove
Neqtk,r2rnq1k/4NppQ/p1b5/4p3/N3p3/6R1/1PP2PPP/5RK1 b - - 0 24,h8h7 g3h3,872,anastasiaMate master mate mateIn1 middlegame oneMove
5D9St,Q2r3r/1ppk1pp1/3q3p/8/4P1n1/2NP4/PPP3PP/R4RK1 w - - 3 18,a8b7 d6h2,875,kingsideAttack mate mateIn1 middlegame oneMove
tq8Gv,8/1R2n2p/p4pk1/3Bp1p1/2P1K3/3P2P1/3N3n/2r5 w - - 2 37,b7e7 c1e1,876,endgame mate mateIn1 oneMove
vqtCr,r1bq1rk1/pp3p2/2pp2nQ/2bBp1N1/4P3/3P3P/PPP2PP1/R3K2R b KQ - 1 13,d8f6 h6h7,878,mate mateIn1 middlegame oneMove
UXXqO,r1bq1b1r/pppp1kpp/6n1/3nP3/3P4/5Q2/PPP2PPP/RNB1K2R b KQ - 2 8,f7g8 f3d5,880,hangingPiece mate mateIn1 oneMove opening
XcSo3,rn2r1k1/pp3ppp/2p5/3q4/3N4/6PP/PP2bPB1/R1BQR1K1 b - - 1 14,e2d1 e1e8,882,backRankMate hangingPiece mate mateIn1 middlegame oneMove
vNx5O,6k1/5p2/2q5/p6p/Pp3N1K/3QP2P/1P2B3/6r1 w - - 10 46,e2h5 c6f6,884,endgame mate mateIn1 oneMove
6Owt5,1R3b2/r4pk1/3p1Np1/2pP2P1/1p6/6P1/8/6K1 b - - 0 34,f8e7 b8g8,886,endgame hookMate mate mateIn1 oneMove
0eP9W,r1b1rk2/1p2bppB/1q2p3/p2pn1B1/7P/P3P3/1PQN1P2/R3K1R1 b Q - 3 18,g7g6 g5h6,888,doubleBishopMate mate mateIn1 middlegame oneMove
4SZWi,1krr4/7p/Pp4p1/1P3q2/2p2P1P/2N2Q2/6P1/2R4K b - - 2 47,d8d3 f3b7,890,endgame master mate mateIn1 oneMove
bnCCO,r1b1k1nr/1pp2ppp/p1n5/b3N1B1/4N3/2P1P2P/PP3PP1/3RKB1R b Kkq - 0 12,c6e5 d1d8,891,master mate mateIn1 oneMove opening operaMate
