PuzzleId,FEN,Moves,Rating,Themes
EZ1Tf,rn1q1bkr/pp2p1pp/2p5/4N3/3Pn1Q1/8/PPP3PP/RNB1K2R b KQ - 0 9,d8d4 g4e6,893,mate mateIn1 oneMove opening
ocyZW,1r3rk1/Nb2bppp/1p2pn2/3qN1B1/8/2P5/PP2QPPP/R3R1K1 w - - 3 19,g5f6 d5g2,894,kingsideAttack mate mateIn1 middlegame oneMove
k7F9f,8/p7/kp2Q2P/2p5/K1P5/P1P2P2/7r/7r b - - 2 35,h2h6 e6c8,896,endgame mate mateIn1 oneMove queenRookEndgame
qFQ9X,r2qkb1r/ppp2pp1/5B1p/8/b2P4/8/PP2PPPP/R3KBNR w KQkq - 0 10,f6d8 f8b4,899,doubleBishopMate mate mateIn1 middlegame oneMove
7M3lT,5r1k/pp1Q2pp/2p2p2/4r3/7q/6R1/PPP2PPP/R5K1 b - - 2 27,f8e8 d7g7,901,endgame kingsideAttack master mate mateIn1 oneMove
SJfVD,8/5ppp/Nn4k1/n7/2r2P2/1K1P4/PP4PP/R1B5 w - - 1 34,b3a3 c4a4,902,endgame mate mateIn1 oneMove vukovicMate
3EQno,R7/5pk1/4pNp1/6P1/8/4nK2/2r2P2/8 b - - 1 40,e3d5 a8g8,904,endgame hookMate master mate mateIn1 oneMove
h9h6v,3r2k1/5ppp/1p2p3/p1q1BnQ1/8/2P5/5PPP/4R1K1 b - - 4 30,c5e5 g5d8,905,backRankMate endgame hangingPiece mate mateIn1 oneMove
hXOrg,2r1r1k1/1p1nqp1p/p3b2P/3pPB2/3p4/6Q1/PP1N2P1/1K3R1R b - - 1 26,g8h8 g3g7,907,mate mateIn1 middlegame oneMove
p6xVE,r1b1k1r1/p1qpnp1Q/1pp5/8/2P5/4R3/PP2PPPP/2K2B1R b q - 3 14,c8a6 h7g8,908,mate mateIn1 middlegame oneMove pin
0qnMd,1r3k2/p3bp2/2Q2p1p/3ppP2/6q1/1PN4r/P1P2PP1/3R2RK w - - 0 23,g2h3 g4h3,910,kingsideAttack mate mateIn1 middlegame oneMove
3jJl4,8/1R6/6k1/6p1/7p/2Pr1K1P/6P1/8 w - - 3 38,f3g4 d3g3,911,endgame master mate mateIn1 oneMove rookEndgame
z3z3x,r1b2k1Q/1pq3p1/1nn1p1B1/p2pP3/Pb3r2/5N2/1P3PPP/RN2R1K1 b - - 4 18,f8e7 h8e8,911,mate mateIn1 middlegame oneMove
U9z5S,r1b3k1/pp2bppp/4p3/8/1B6/8/PP2BPPP/3R2K1 b - - 3 18,g8f8 d1d8,913,endgame mate mateIn1 oneMove pin
eWPEZ,8/7k/p5p1/2P5/2Q3KP/6P1/P4q2/8 w - - 0 59,c5c6 f2f5,914,endgame mate mateIn1 oneMove queenEndgame
QlagT,r1bq1rk1/ppp2ppp/2n1p3/3pP1b1/3P4/2P2PP1/PPQ3B1/RNB1K1NR b KQ - 1 11,g5c1 c2h7,915,kingsideAttack mate mateIn1 oneMove opening
jPFZb,6k1/pp5p/2pp2p1/4P3/2P2n2/2P1QNq1/PP4P1/6K1 w - - 1 31,e5d6 g3g2,916,endgame mate mateIn1 oneMove
lyyDu,2kr2nr/ppp1q1pp/5p2/2b5/8/P2p1PB1/1PQNB1PP/R3K2R w KQ - 0 15,c2c3 e7e2,917,mate mateIn1 middlegame oneMove
nhi5H,r2qk2r/1ppbbpp1/p1np3p/4p3/P1B1P1P1/2PPBQ1P/1P3P2/R3KN1R b KQkq - 0 12,e7g5 f3f7,918,attackingF2F7 mate mateIn1 middlegame oneMove
KhvXR,4r2r/pp1R4/k1p5/4p2p/2B2b2/8/PPP2BPP/7K b - - 7 26,b7b5 d7a7,919,endgame mate mateIn1 oneMove operaMate
OiJPE,3r2k1/3RQ1pp/p3pp2/8/3P1P2/6PK/Pq5P/8 b - - 1 36,d8d7 e7e8,920,endgame mate mateIn1 oneMove
cZ3av,4r3/k1q3p1/3N4/pQ1B4/8/P1b3P1/3p2K1/5n2 b - - 15 43,c7d6 b5b7,921,endgame master masterVsMaster mate mateIn1 oneMove
0Jtd7,r6r/pp1k1Q1p/2b1p3/5p2/2p5/P3P1B1/4q2P/b4RK1 b - - 3 26,d7c8 f7c7,923,mate mateIn1 middlegame oneMove
osTBk,8/4R3/2P2p2/6p1/5kP1/7K/6P1/2r5 w - - 2 52,e7e6 c1h1,923,endgame master mate mateIn1 oneMove rookEndgame
96FyF,3r2k1/pb1q2pp/5p1B/2b1p3/8/2P3Q1/PP3PPP/3R1RK1 b - - 3 19,d7d1 g3g7,925,kingsideAttack mate mateIn1 middlegame oneMove
qhvfw,1r1q1r1n/p1p1k3/bp4PQ/7B/8/2N5/PP2K2R/2R3N1 w - - 1 29,e2e1 f8f1,925,mate mateIn1 middlegame oneMove operaMate
sT6VQ,2r2r1k/pp2npp1/4p3/q2pP1NP/3P1nP1/P1P5/2QN1P2/R4RK1 b - - 2 21,a5c3 c2h7,926,mate mateIn1 middlegame oneMove
NKZSt,r3brk1/5pb1/2p5/q1pPpNPQ/2P1P2P/p7/P4P2/R4KR1 b - - 3 25,a5c3 f5e7,928,master mate mateIn1 middlegame oneMove
DuEh0,r4Q1k/6pn/p2p2p1/8/7Q/2q1B3/P6P/5RK1 b - - 0 31,a8f8 f1f8,929,endgame mate mateIn1 oneMove pin
7Skfx,r5k1/3p1R1p/p3p1p1/1p1bP1q1/3P4/4n2Q/P1B3PP/5RK1 b - - 0 27,e3g2 h3h7,930,kingsideAttack mate mateIn1 middlegame oneMove triangleMate
hgQ4y,k3r3/p7/2R3p1/3Qp3/q6r/6P1/5P2/5RK1 b - - 0 30,h4d4 c6c8,930,discoveredCheck doubleCheck endgame mate mateIn1 oneMove
oQgFp,r1b2k1r/pp1n1pp1/4p3/q1PpP1Qp/5P1P/2PB4/P1PK2P1/R5NR b - - 1 14,a5c5 g5d8,931,master mate mateIn1 middlegame oneMove
VKVGZ,2r2rkn/pp1bb1p1/2n1p2p/3pP1Nq/1P1P1p1P/P2B2P1/1B1NQPK1/2R4R b - - 5 19,h5e2 d3h7,933,master mate mateIn1 middlegame oneMove
ta0jc,r1b1qrk1/pppp1p1p/1b1P2nQ/4P1Np/2B5/8/P4PPP/RN3RK1 b - - 3 15,e8e5 h6h7,934,kingsideAttack mate mateIn1 oneMove opening
wGm0R,2r5/7Q/2q1pkp1/pp4p1/8/3r4/PPPR1P2/2K4R w - - 0 29,d2d3 c6c2,935,endgame mate mateIn1 oneMove
eQDGN,r1b2r2/pp2qpp1/1nn1N1k1/3pP3/2PP2Q1/8/P2B1PPP/R3K2R b KQ - 0 15,g6h7 g4g7,936,mate mateIn1 middlegame oneMove
H4Wmj,6k1/5pp1/1pb2q1p/p5r1/8/2PQ1N1P/PP3PP1/4R1K1 b - - 10 28,c6f3 e1e8,937,endgame master mate mateIn1 oneMove
q4K7v,8/2k5/1n2R3/2p5/1p3N2/1K6/P1P5/6r1 w - - 2 40,e6e2 g1b1,938,endgame master mate mateIn1 oneMove
mm7s3,8/4k3/p3Qp1p/1p1B4/2pP1q1P/P1Pb4/1P6/6K1 b - - 3 38,e7f8 e6f7,939,endgame mate mateIn1 oneMove
ZOEPl,7r/1p3ppp/1k6/2q5/Rn1r4/1PP3Q1/1P3PPP/3KR3 w - - 0 25,c3d4 c5c2,940,endgame mate mateIn1 oneMove
GV7fz,8/3r2p1/2Q1kp1p/4p2P/4P1P1/5PK1/8/3r4 b - - 12 52,d7d6 c6e8,941,endgame epauletteMate mate mateIn1 oneMove queenRookEndgame
2wFbV,3r4/8/1RP1R2p/4pppk/8/7P/2r1KPP1/8 w - - 6 39,e2f1 d8d1,942,endgame mate mateIn1 oneMove rookEndgame
622y6,3r4/R7/3P1k1K/8/8/8/P7/3R4 w - - 1 50,d6d7 d8h8,943,endgame master mate mateIn1 oneMove rookEndgame
qzAoq,rnb1kbnr/pp3ppp/2pp2q1/4P1B1/2P5/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 6,d6e5 d1d8,943,mate mateIn1 middlegame oneMove
eeJ3N,r5k1/p1Q2p2/1p4q1/4p3/2P1Nn2/7P/PP3PP1/3R2K1 w - - 2 26,c7e5 g6g2,944,endgame mate mateIn1 oneMove
fsBiP,6k1/pp3qp1/7r/4B3/6Q1/8/P3N2P/4K3 b - - 12 42,f7a2 g4g7,945,endgame mate mateIn1 oneMove
gVfFq,5k2/R7/p1pK4/3b1r2/8/8/8/6R1 b - - 6 49,f5f7 a7a8,946,endgame master mate mateIn1 oneMove
DGUdj,2k5/4pq2/2P1p3/2Q1P2K/7P/6P1/5P2/8 w - - 1 46,h5g4 f7f5,947,dovetailMate endgame master mate mateIn1 oneMove queenEndgame
AHuKE,r7/8/8/8/5k2/8/6RK/8 w - - 5 61,h2h3 a8h8,948,endgame mate mateIn1 oneMove rookEndgame
1biJ0,r1b1k2r/ppnp1pBp/8/3P4/1P2n3/8/q4PPP/1R1QKBNR w Kkq - 1 15,g7h8 a2f2,949,attackingF2F7 mate mateIn1 middlegame oneMove
YdkQu,3R2k1/1p4pp/p4r2/8/1Pr2Nn1/4p1P1/1P4P1/3R2K1 b - - 1 31,g8f7 d1d7,949,endgame master masterVsMaster mate mateIn1 oneMove
GqLTD,4r1k1/6p1/4p2p/pp1bPp2/2rN4/P1P1R2Q/1P1q2PP/4R1K1 w - - 0 29,h3h5 d2g2,950,kingsideAttack master mate mateIn1 middlegame oneMove
m8lXL,r4r1k/pbp4p/1p3R1p/2bqp2N/6PQ/3P3P/PPPN3K/R7 w - - 7 25,a1f1 d5g2,950,mate mateIn1 middlegame oneMove
J3XY5,3r1k2/2q1r2p/p4Q2/1p6/8/2P5/PP3PPP/2K1R3 b - - 0 24,e7f7 f6h8,951,endgame master mate mateIn1 oneMove
5Jh8O,8/3k3P/4p3/3pBp2/2bP4/1rn1PB2/2R2PP1/K7 w - - 3 60,h7h8q b3b1,952,arabianMate mate mateIn1 middlegame oneMove
eXPDF,2r1r1k1/1p1R1B2/p6p/4p3/4b3/2n1B2P/PP3PP1/5K2 b - - 0 28,g8f8 e3h6,952,master masterVsMaster mate mateIn1 middlegame oneMove
KhQdO,8/5p2/2q2P1k/6n1/6B1/3QP1Pp/7P/3R2K1 w - - 1 44,d3f5 c6g2,953,endgame master masterVsMaster mate mateIn1 oneMove
4o4Oh,8/1bk3R1/p3r3/1pP2p2/1P1Q3p/P4q1P/8/6K1 b - - 1 36,c7c6 d4d7,954,endgame mate mateIn1 oneMove
kkEJQ,5r1k/p1p2P1p/4Q1p1/2P4q/2p2P2/2Br2P1/PP5P/R5K1 b - - 0 29,d3c3 e6f6,954,endgame master mate mateIn1 oneMove
KgVrA,7k/1pp3p1/p5qp/1b5B/1P1PP3/P3B3/Q4rPP/6K1 w - - 0 27,h5g6 f2f1,955,endgame mate mateIn1 oneMove operaMate
2tPUZ,4r2k/8/2P2p2/p7/P4Q2/1BPK2p1/1P3P2/7q b - - 4 37,h1c6 f4h6,956,endgame master mate mateIn1 oneMove
dDRBE,rn1Q3k/pp2p1bp/4q1p1/4N3/8/8/PPP3PP/R1B3K1 b - - 2 18,e6g8 e5f7,956,mate mateIn1 middlegame oneMove pin smotheredMate
xWeI5,r3r1k1/p2n1ppp/2p2p2/1p6/3P1b2/1QPBBP2/PP3P1q/R3RK2 w - - 2 18,e3f4 h2h1,956,mate mateIn1 middlegame oneMove
cH8eV,r1b1kb1r/1p3ppp/p3p3/7Q/4PB2/2N4n/PP4PP/R4RqK w kq - 6 17,f1g1 h3f2,957,mate mateIn1 middlegame oneMove smotheredMate
4s7c8,r1b1r1k1/pp3Np1/2n1pn2/2pp2N1/3P4/2P1P1P1/PP3PP1/R3K2R b KQ - 0 16,f6e4 h1h8,958,mate mateIn1 middlegame oneMove
xdeOr,r1b1k1r1/ppp2pPp/4nB2/8/2p5/5N2/P4PPP/2KR3R b q - 4 14,e6g7 d1d8,958,mate mateIn1 middlegame oneMove operaMate
sb2Nv,4r1k1/6b1/3p2Q1/3P1p2/1pP1p3/pPq5/P1K5/2R1R3 w - - 3 40,c2d1 c3d3,959,endgame epauletteMate master mate mateIn1 oneMove
UneDc,3n1rk1/ppq3pp/4p1p1/4Q3/1PN2r2/P1B5/5PPb/3RR2K b - - 3 26,c7c4 e5g7,960,kingsideAttack mate mateIn1 middlegame oneMove
32hOt,8/7p/2R3p1/3Bp1k1/4P3/5P1K/Pr2n1PP/8 w - - 13 40,g2g3 e2g1,961,endgame master mate mateIn1 oneMove
VqM6k,Q2r1b1r/1p1kqppp/2P2n2/1B2p3/5Bb1/2N5/PPP3PP/R3K2R b KQ - 0 16,b7c6 a8c6,961,dovetailMate mate mateIn1 middlegame oneMove
4QxaS,r4rk1/p1p2ppp/8/6q1/2BPQ1b1/6P1/PP3pP1/R4K1R b - - 0 18,a8e8 e4h7,962,kingsideAttack mate mateIn1 middlegame oneMove
SfjNN,r1bq2nr/ppppb1pp/4k3/5Q2/4PP2/3P4/PP1P2PP/RNB1K2R b KQ - 2 9,e6d6 f5d5,962,mate mateIn1 oneMove opening
0hzam,r2qkr2/pppbbpQp/7B/4p3/2B1n3/2P4P/PP3PP1/RN3RK1 b q - 2 13,e7f6 g7f8,963,mate mateIn1 oneMove opening
bir24,r5r1/1b2b2k/pp4qp/2pPPB2/8/1P2QNP1/P4PK1/7R b - - 0 34,g6f5 e3h6,963,mate mateIn1 middlegame oneMove
v2Gmv,4r1Qk/pp4p1/1qn2n1N/8/8/2P4P/PPBB1PP1/4R1K1 b - - 8 36,e8g8 h6f7,963,master mate mateIn1 middlegame oneMove
9EkFG,6k1/6Pn/5b2/3p1Q2/3Pp2P/2q1K3/1R3P2/7R w - - 0 33,e3f4 c3f3,964,endgame mate mateIn1 oneMove
bUrjY,8/6Q1/8/4p3/5k2/6p1/3pr1P1/3R3K w - - 4 58,d1d2 e2e1,964,endgame mate mateIn1 oneMove queenRookEndgame
ExBT0,7r/pR6/P1k1p1B1/3nP3/3Pp1b1/4P3/5K2/7N b - - 0 42,h8h1 g6e8,965,endgame mate mateIn1 morphysMate oneMove
VBFvV,3n3r/r1p2k2/pp3pp1/3Pp3/q1Pn1P1P/3P2Q1/PP2B3/2K2RNR w - - 1 26,f4e5 a4c2,965,mate mateIn1 middlegame oneMove
C5ooQ,1r3rk1/3R3p/p4qpQ/5N2/2p1pp2/2P5/PP4P1/3R3K b - - 0 34,g6f5 h6h7,966,endgame mate mateIn1 oneMove
Z8JOq,r2qkb1r/1p1nnppp/p3p3/P1p1P3/2NP4/3b1N2/1P2BPPP/R1BQ1RK1 b kq - 0 11,d3e2 c4d6,966,mate mateIn1 middlegame oneMove smotheredMate
ujgaQ,5b2/n1rk2p1/P2N1p1p/R1PKp2P/1N2P1P1/5P2/8/8 w - - 6 47,d6b5 c7c5,966,endgame mate mateIn1 oneMove operaMate
LuT9R,r5k1/1ppq1ppp/p2p4/7b/7r/P3BN2/1P2QP1K/R2B1R2 w - - 2 23,h2g1 d7g4,967,mate mateIn1 middlegame oneMove
pMzMf,8/p3k3/2p5/4n3/4N1rp/1P2P2q/P1PPQ2P/R4R1K w - - 2 25,e4f2 h3g2,967,mate mateIn1 middlegame oneMove
MBh6t,r1bqk2r/ppp3pp/8/2bppP2/3n2n1/3P1P2/PPPN3P/R1BQKBNR w KQkq - 0 9,f3g4 d8h4,968,mate mateIn1 oneMove opening
k298F,rnb1k2r/ppp2pp1/8/2qpp3/4P1n1/2NP1Np1/PPP1B1KP/R1BQ3R w kq - 2 12,h2g3 c5f2,968,mate mateIn1 oneMove opening
8ElLT,r2k2nr/pbpp2Q1/1p1q4/7p/4P3/3B2P1/P1PN2KP/R4R2 b - - 2 18,d6h6 f1f8,969,mate mateIn1 middlegame oneMove
UUUHb,r6k/ppp2Q2/8/3P1N2/3P1p1q/5n2/PPP1n1P1/R1B4K w - - 3 23,f5h4 e2g3,969,mate mateIn1 middlegame oneMove
1fOPe,8/p5p1/1p2R1Qp/5rk1/3p4/2P4P/PP3q2/7K b - - 7 40,g5f4 g6g4,970,endgame mate mateIn1 oneMove
ZLvKS,3R1rk1/4Qp1q/4p1p1/3pP2N/6P1/8/5P1K/2r5 b - - 1 39,c1c8 e7f8,970,endgame mate mateIn1 oneMove
yvEnu,4b1k1/Q4pp1/2p4p/4p3/4P3/1B6/PP1q1PPP/6K1 w - - 3 24,f2f3 d2e1,970,endgame mate mateIn1 oneMove
YAtmh,r1bq1b1r/ppp1k1pp/5n2/4Q3/1nB5/2N5/PPPP1PPP/R1B1K2R b KQ - 0 11,e7d7 e5e6,971,dovetailMate mate mateIn1 oneMove opening
8Wzua,3b4/5R2/p6k/2p1PB2/2P2P2/PKpP4/2P5/1q6 w - - 5 52,b3c3 d8a5,972,endgame master masterVsMaster mate mateIn1 oneMove
RogkB,5b2/1p3Prk/2p4p/p3NR2/P1P1P3/1P3R1K/8/6r1 w - - 1 53,e5d7 g1h1,972,endgame master masterVsMaster mate mateIn1 oneMove
q9oyJ,8/p1Q2ppk/8/6B1/3P4/P1P2qPb/1P5P/3R2K1 w - - 0 28,d1d2 f3f1,972,endgame mate mateIn1 oneMove
7djiw,3r1k2/3P2b1/p4pP1/1pp2P2/8/1Q6/PPPRq2r/1K1R4 b - - 1 34,e2d2 b3f7,973,endgame master mate mateIn1 oneMove
VgdTV,rn3rk1/pb2ppb1/1p1q4/2p2N1Q/4P2P/P7/3B1PP1/3RK2R b K - 3 19,d6g6 f5e7,973,kingsideAttack master mate mateIn1 middlegame oneMove
zKZSd,6k1/R5p1/7p/1P1p4/4p3/4P2P/3qBPP1/2r1RK2 w - - 1 36,a7a1 d2e1,973,endgame mate mateIn1 oneMove
SCc2i,r4rk1/2p3pp/p2p4/1p1Pppq1/2P2n2/1P1PQ2P/1P3PPN/R4RK1 w - - 1 19,c4b5 g5g2,974,kingsideAttack mate mateIn1 middlegame oneMove
sC2x1,8/r7/3B4/p3P3/4n1PK/2P5/PPk5/3R4 w - - 6 48,d1e1 a7h7,974,anastasiaMate endgame mate mateIn1 oneMove
HWZSR,5Rk1/5r1p/5PpQ/1P4B1/2pp4/2q4P/2P2PP1/6K1 b - - 0 28,f7f8 h6g7,975,endgame master mate mateIn1 oneMove
mnjoS,rn1qkbnr/pp2ppp1/2p3b1/8/4N2p/1PN5/PBPPQPPP/R3KB1R b KQkq - 1 8,b8d7 e4d6,975,mate mateIn1 oneMove opening pin smotheredMate
BvfA3,5rk1/p1R1Q1pp/4p3/3qn3/3r4/6P1/P4P2/R5K1 b - - 3 30,h7h6 e7g7,976,mate mateIn1 middlegame oneMove
TXsjb,r1bqkbnr/ppp2p1p/2np2p1/3N4/2PpP3/8/PP2NPPP/R1BQKB1R b KQkq - 1 6,g8e7 d5f6,976,mate mateIn1 oneMove opening
i8phz,r1bqkb1r/pppnnp1p/4p1pP/1B6/3PN3/5N2/PPP2PP1/R1BQK2R b KQkq - 2 9,c7c6 e4d6,976,mate mateIn1 oneMove opening smotheredMate
2s4YA,4r1rk/pp1n3p/5N1Q/2p1nNp1/3p4/3P4/PqP3PP/R4R1K b - - 0 27,g8g6 h6h7,977,kingsideAttack mate mateIn1 middlegame oneMove
QQOTs,8/3q1p1k/4BQpb/pp1pB2p/3P3P/1P4P1/5P2/6K1 b - - 0 32,d7e6 f6h8,977,endgame master mate mateIn1 oneMove
bbxmm,7k/1p5p/p2Q2p1/1b6/4P2P/3P2P1/qPP5/6K1 b - - 0 35,a2b2 d6f8,977,endgame mate mateIn1 oneMove
neTmY,6r1/7k/p1q1pQ1p/1pb2p2/8/2Pn4/P5NP/R1B3RK b - - 0 30,c5g1 f6h6,977,mate mateIn1 middlegame oneMove
DVPl4,r1b1k2r/ppp1np1p/1bnp1Np1/4p3/1PB1P3/3P1N2/P1P2PPP/R1B1K2R b KQkq - 2 10,e8f8 c1h6,978,master mate mateIn1 oneMove opening
