PuzzleId,FEN,Moves,Rating,Themes
Nkul6,r1b2r1k/6qn/p3pp2/3pb2Q/8/2NB3R/PPP2PP1/5R1K b - - 3 22,f8g8 h5h7 g7h7 h3h7,993,kingsideAttack mate mateIn2 middlegame operaMate short
rnDi3,r5k1/pp3ppB/2p1bP1p/4P3/3p4/2q3R1/P2Q2PP/7K b - - 1 25,g8h7 g3g7 h7h8 d2h6,995,deflection endgame mate mateIn2 short
Y1nH4,7k/5Kb1/8/pR6/P7/2P2p2/1P4r1/8 b - - 1 49,f3f2 b5h5 g7h6 h5h6,998,endgame mate mateIn2 short
I2yRg,2kr3r/B1pb4/1pnb1p2/3B1qp1/2Q4p/2P2N1P/PP3PP1/R4R1K b - - 1 23,c6a7 c4a6 c8b8 a6b7,1002,fork mate mateIn2 middlegame short
bPC2I,r3r1k1/1p3ppp/p2b1N2/6N1/2pP2q1/4P3/PPQ2Pb1/R1B2RK1 b - - 0 19,g7f6 c2h7 g8f8 h7f7,1007,kingsideAttack mate mateIn2 middlegame short
DOapb,5k2/8/8/6p1/2BRP1n1/3P2rp/8/7K w - - 0 56,c4e6 g4f2 h1h2 g3g2,1013,endgame mate mateIn2 short vukovicMate
xmBJJ,r3r2k/5B1p/6p1/1bBP4/1P6/p1P4R/P2bp1PP/4R1K1 b - - 0 27,d2e1 c5d4 e8e5 d4e5,1017,mate mateIn2 middlegame short
DHU91,6k1/1p3p1p/2p5/2P5/4b3/1P2N1B1/P2r1pPP/R6K w - - 4 29,a1d1 d2d1 e3d1 f2f1q,1023,advancedPawn endgame mate mateIn2 promotion short
f1JSZ,1k6/p1p2rq1/Pp1b2r1/4P3/1P5Q/5PP1/2P3K1/3R1R2 b - - 2 31,d6e7 d1d8 e7d8 h4d8,1027,mate mateIn2 middlegame queensideAttack sacrifice short xRayAttack
zfplp,1k1rR3/ppp5/3p3p/3q2p1/Q2P4/8/PKP5/8 b - - 1 31,d8c8 e8c8 b8c8 a4e8,1031,attraction endgame mate mateIn2 short
XgfR9,8/1B6/P1RB4/6pk/3n2np/6Pb/4PP1P/R5K1 w - - 0 36,a6a7 d4e2 g1h1 g4f2,1036,deflection mate mateIn2 middlegame short
wK58E,8/p7/1k5R/1p6/2b5/P5r1/1PK5/8 b - - 9 45,b6a5 b2b4 a5a4 h6a6,1040,endgame mate mateIn2 short
g5IPR,5rk1/p1p2qp1/1p1pR2p/8/6n1/1Q4NP/PPP3r1/3R2K1 w - - 0 22,g1g2 f7f2 g2h1 f2h2,1044,mate mateIn2 middlegame short
LmZEG,r4rk1/pb6/1p2p1Bp/7Q/3P4/2p4P/q4PP1/2RR2K1 w - - 0 24,h5h6 a2f2 g1h2 f2g2,1048,mate mateIn2 middlegame short
Te8G9,rnbq1rk1/pp1p1pp1/1b2N3/4P2Q/8/4p3/PPP3PP/RN3RK1 w - - 1 15,e6d8 e3e2 f1f2 e2e1q,1052,advancedPawn deflection discoveredAttack discoveredCheck kingsideAttack mate mateIn2 middlegame pin promotion short
2juAi,1n1q1rk1/1p3ppp/2p2n2/p3pNN1/Rb2P3/1P2B1Q1/1PP2PPP/3r1RK1 w - - 8 27,g5h7 d1f1 g1f1 d8d1,1056,attraction kingsideAttack mate mateIn2 middlegame short
L8ri9,6rk/4R1p1/2R4p/7P/4BP2/1b3K2/p7/6r1 b - - 1 46,a2a1q c6h6 g7h6 e7h7,1059,mate mateIn2 middlegame operaMate sacrifice short
XG0Sm,2b2rk1/1p2R1pp/8/p7/1nP2N2/1P5P/3r2P1/1B3RK1 b - - 0 25,g7g5 b1h7 g8h8 f4g6,1062,mate mateIn2 middlegame short
mwR87,4r1k1/pR3ppp/3q4/7n/8/2NP2PP/P1P2Q1K/4r3 b - - 2 26,h5g3 f2f7 g8h8 f7g7,1065,mate mateIn2 middlegame short
kCtNk,4r1k1/pb2r2p/1p4n1/2p3q1/6P1/P2BN2R/1PPQ4/2K4R w - - 0 28,e3f5 e7e1 h1e1 e8e1,1068,master mate mateIn2 middlegame pin queensideAttack short
jsEYj,6k1/pp2rpb1/1q4pp/3B4/6P1/2p2QP1/P3RPK1/8 b - - 1 31,e7e2 f3f7 g8h8 f7g8,1071,endgame master mate mateIn2 short
UzTiO,7k/pp2q1pp/2p5/3p4/5PQP/P1PP4/KP6/4r1R1 b - - 7 34,e1g1 g4c8 e7d8 c8d8,1074,backRankMate endgame mate mateIn2 short
5xe94,3R4/2r2pkp/p3pNp1/2p1P3/2p2PP1/1r6/7P/6K1 b - - 0 37,c7b7 d8g8 g7h6 g4g5,1077,endgame mate mateIn2 short
3qCcZ,r5k1/p3n2p/6pQ/1pqp3P/3p4/Pr5B/1P1BN3/KR5R w - - 7 26,h5g6 b3a3 b2a3 c5a3,1080,mate mateIn2 middlegame sacrifice short
WIMRn,8/5N2/6p1/5p1p/5Pk1/4p1r1/R7/5K2 b - - 1 55,g4f4 a2a4 f4f3 f7e5,1082,cornerMate endgame master mate mateIn2 short
aqUXr,r1b5/pp3pk1/2p1p1p1/2q1b1N1/7Q/2P5/P1Pr1PPP/R3R1K1 b - - 3 20,e5f6 h4h7 g7f8 h7f7,1085,mate mateIn2 middlegame short
Ee9xg,1QQ5/6p1/5k2/4p3/8/5P2/P2p1qPP/2R4K w - - 0 38,c1d1 f2e1 d1e1 d2e1q,1088,advancedPawn backRankMate endgame mate mateIn2 promotion short
hzIRN,1nb3k1/r6p/3qp1pQ/2p1Np2/p3n3/1P6/P4PPP/3RKB1R b K - 1 23,d6e5 d1d8 g8f7 h6f8,1090,fork mate mateIn2 middlegame short swallowstailMate
5hM0y,r1b2r1k/1pq3pp/2pb1p2/4p3/p1B1Q2N/P3P3/1P3PPP/2R2RK1 b - - 3 19,f6f5 h4g6 h7g6 e4h4,1093,clearance kingsideAttack mate mateIn2 middlegame sacrifice short
gOWmF,r5k1/p2q1ppp/1p2p1b1/3nB3/3P4/2N2Q2/PP3PPP/3R2K1 b - - 7 22,d5c3 f3a8 d7c8 a8c8,1095,hangingPiece mate mateIn2 middlegame short
CHdxl,6rk/pp4p1/4R2p/8/5Q2/q1P5/3r2PP/6RK b - - 5 32,a3c3 e6h6 g7h6 f4h6,1098,endgame mate mateIn2 sacrifice short
MZQMZ,2r1r1k1/p2q1ppp/1p6/2p4n/2Pb1B1Q/1P5P/P4PP1/1B1RR1K1 b - - 8 23,h5f4 h4h7 g8f8 h7h8,1100,kingsideAttack mate mateIn2 middlegame short
6ybAu,3rr3/kp1qb3/pR5Q/2P1Bpp1/1P1p4/P2Bn3/3K2P1/4R3 b - - 2 34,e7c5 b6a6 b7a6 h6a6,1102,mate mateIn2 middlegame sacrifice short
kQnVh,r1b2rk1/5pp1/3p4/2pNq3/1p1RP2P/p4Q2/PPP1B3/1K5R b - - 0 22,e5d4 d5e7 g8h7 f3h5,1103,anastasiaMate kingsideAttack mate mateIn2 middlegame short
JbNTJ,5r2/p1p4p/7k/3p4/3P1r2/1NP2bR1/PP3R2/6K1 b - - 13 34,f3e4 f2h2 f4h4 h2h4,1105,endgame mate mateIn2 short
thTIi,3b2k1/p4ppp/1p2p3/1N4nq/1Q2P3/P2P2P1/1P3PK1/2R5 w - - 4 29,c1c8 h5h3 g2g1 g5f3,1106,endgame mate mateIn2 short
TuES2,5r2/2B2k1p/1p1P1p2/pP2b3/P7/8/4r2P/1R3R1K w - - 3 28,b1e1 e2h2 h1g1 f8g8,1108,endgame mate mateIn2 short
4xlwW,5r2/ppp4k/7p/8/1PPbB1P1/7P/P1K1bq2/1RQ5 b - - 3 36,h7h8 c1h6 h8g8 h6h7,1110,mate mateIn2 middlegame short
fwxiX,1rb2r2/1NP1kppp/np2pn2/4N3/1P6/P7/5PPP/2KR3R b - - 0 24,b8b7 e5c6 e7e8 d1d8,1111,mate mateIn2 middlegame short
NK4q4,8/8/3R4/6k1/6P1/5PK1/2r1n2P/8 w - - 11 50,g3h3 e2f4 h3g3 c2g2,1113,endgame mate mateIn2 short
6Xk7b,rnk2b1r/1p3ppp/pB3n2/3P4/P1Q5/1B3P1b/1P6/RN2K1Nq b Q - 4 15,c8d7 c4c7 d7e8 c7d8,1115,mate mateIn2 middlegame short
LOmfe,2b1r1k1/2Q3pp/3N3r/8/2P1pPn1/B5Pq/R6P/5RK1 b - - 2 27,g4h2 c7f7 g8h8 f7e8,1116,backRankMate fork mate mateIn2 middlegame short
mGPFJ,r7/pp6/4p1k1/6r1/3P1n2/B4R2/P6K/2R5 w - - 4 35,f3f4 a8h8 f4h4 h8h4,1117,endgame mate mateIn2 short
8CMDd,r1bq1k1r/ppp3pp/2p5/8/4n3/1B6/PPPP1KPP/RNBQ3R w - - 0 9,f2g1 d8d4 g1f1 d4f2,1119,kingsideAttack mate mateIn2 opening short
